"Name","Phase","Architecture","Source","BundlePath","Status","Notes"
"phase07_single_cycle_style_fpga_top","Phase 7","Original single-cycle-style CPU","reports/bitstreams/fpga_top.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase07_single_cycle_style_fpga_top.bit","copied","LED/debug wrapper; not a 7-seg MIPS counter"
"phase08_multicycle","Phase 8G","Separate multi-cycle CPU","reports/phase8g/bitstreams/fpga_top_multicycle.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase08_multicycle.bit","copied","LED/debug wrapper; slow-enable top"
"phase10_bram_multicycle","Phase 10H","BRAM-aware multi-cycle CPU","reports/phase10h/bitstreams/fpga_top_multicycle_bram.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase10_bram_multicycle.bit","copied","LED/debug wrapper; BRAM inferred"
"phase11_bram_prefetch","Phase 11C","BRAM-aware prefetch multi-cycle CPU","reports/phase11c/bitstreams/fpga_top_multicycle_bram_prefetch.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase11_bram_prefetch.bit","copied","LED/debug wrapper; instruction prefetch variant"
"phase11_ctrlopt_prefetch","Phase 11E","Control-flow optimised BRAM prefetch multi-cycle CPU","reports/phase11e/bitstreams/fpga_top_multicycle_bram_prefetch_ctrlopt.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase11_ctrlopt_prefetch.bit","copied","LED/debug wrapper; Phase 11 preferred variant"
"phase12_pipeline","Phase 12","Five-stage pipeline","reports/phase12_pipeline/bitstreams/fpga_top_pipeline.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase12_pipeline.bit","copied","LED/debug wrapper; first full pipeline path"
"phase13a_jumpfast_pipeline","Phase 13A","Pipeline with fast JUMP target request","reports/phase13a/bitstreams/fpga_top_pipeline_jumpfast.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase13a_jumpfast_pipeline.bit","copied","LED/debug wrapper; timing-clean Phase 13A path"
"phase13b_beq_prefetch_pipeline","Phase 13B","Pipeline with BEQ target prefetch experiment","reports/phase13b/bitstreams/fpga_top_pipeline_branchprefetch.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase13b_beq_prefetch_pipeline.bit","copied","LED/debug wrapper; experimental branch-prefetch path"
"phase13c_timingopt_pipeline","Phase 13C","Timing-optimised pipeline","reports/phase13c_timing/perf_directive_9p100ns/bitstreams/fpga_top_pipeline_timingopt.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase13c_timingopt_pipeline.bit","copied","LED/debug wrapper; timing-optimised jumpfast path"
"phase13d_loadtiming_pipeline","Phase 13D","Load-forwarding timing experiment","reports/phase13d_timing/perf_directive_9p100ns/bitstreams/fpga_top_pipeline_loadtiming.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase13d_loadtiming_pipeline.bit","copied","LED/debug wrapper; functionally correct but not preferred"
"phase13e_13i_forwardtiming_pipeline","Phase 13E/13I","Preferred Phase 13 forwarding-timing pipeline","reports/phase13i_strategy/fanout_opt_8p650ns/bitstreams/fpga_top_pipeline_forwardtiming.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase13e_13i_forwardtiming_pipeline.bit","copied","LED/debug wrapper; best Phase 13 implementation strategy result"
"phase13f_targetbuf_pipeline_experimental","Phase 13F","Target-buffer pipeline experiment","reports/phase13f_timing/perf_directive_8p900ns/bitstreams/fpga_top_pipeline_targetbuf.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase13f_targetbuf_pipeline_experimental.bit","copied","Experimental; timing failed at the recorded 8.900 ns constraint"
"phase13g_registered_targetbuf_pipeline","Phase 13G","Registered target-buffer pipeline experiment","reports/phase13g_timing/perf_directive_8p900ns/bitstreams/fpga_top_pipeline_targetbuf_reg.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase13g_registered_targetbuf_pipeline.bit","copied","LED/debug wrapper; timing-clean but not better than Phase 13E"
"phase14g_pipeline6","Phase 14G","Six-stage pipeline","reports/phase14g_impl/fanout_opt_6p000ns/bitstreams/fpga_top_pipeline6.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase14g_pipeline6.bit","copied","LED/debug wrapper; current best timing/performance evidence"
"phase15b_pipeline6_bringup_sticky_leds","Phase 15B","Six-stage pipeline bring-up wrapper","reports/phase15a_bringup_impl/bitstreams/fpga_top_pipeline6_bringup.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase15b_pipeline6_bringup_sticky_leds.bit","copied","Slow-enable/sticky LED hardware evidence wrapper"
"phase16a_pipeline6_perf7seg","Phase 16A","Six-stage pipeline hardware MIPS counter","reports/phase16a_perf7seg_impl/bitstreams/fpga_top_pipeline6_perf7seg.bit","reports\phase16b_cpu_bitstream_bundle\bitstreams\phase16a_pipeline6_perf7seg.bit","copied","7-seg retired-instruction MIPS counter; board measured about 63 MIPS"
